10000035,11725882,SDWP,,,2/23/2010,5/31/2010,0 / 3 / 9,1y,with RSO,Abroad,"Gokongwei Brothers Foundation China, Scholarship Program","Chinese Language Studies, Intensive ",ADMU and Fudan University,Shanghai,China
10000036,11538025,SDWP,,,3/10/2010,5/31/2010,0 / 2 / 22,1y,Served,Abroad,No records,Internship Program,Gwangju Institute of Science and Technology,Gwangju,South Korea
11000037,11538025,SDWP,,,5/16/2011,5/31/2012,1 / 0 / 16,2y ,On-going,Abroad,National Science Council of Taiwan and DOST,MECO TECO Sandwich Program ,Taichung ,Taichung,Taiwan
13000038,11538025,SLWP,,,8/12/2013,7/31/2016,2/11/2020,6y ,On-going,Abroad,ERDT Faculty Fellowship and UH Graduate Assistantship,Ph.D in Chemical Engineering.,University of Houston,Texas,USA
10000039,12002640,SDWP,Full-time,Original,1/23/2010,1/24/2010,0 / 0 / 2,,,Abroad,,Research Meeting,ONI-Asia,Singapore,Singapore
11000040,17920451,SLWP,,,3/28/2011,5/31/2016,5/2/2004,11y ,On-going,Abroad,No records,Ph.D in Chemistry,University of Melbourne,Victoria,Australia
10000041,11000463,SLWP,,,10/18/2010,10/18/2011,1 / 0 / 1,2y ,On-going,Abroad,No records,Specialization in German and french Art Songs,Musikhochschule Karlsruhe,Karlsruhe,Germany
11000042,11000463,SLWOP,,,10/19/2011,10/18/2014,3 / 0 / 0,3y 0m,On-going,Abroad,No records,Specialization in German and french Art Songs,Musikhochschule Karlsruhe,Karlsruhe,Germany
11000043,11000463,SLWOP,Full-time,,10/19/2011,10/18/2014,3 / 0 / 0,3y 0m,On-going,Abroad,,German and French songs,Musikhochschule,Karlsruhe,Germany
10000044,12832992,SDWP,Full-time,Original,1/13/2010,1/16/2010,0 / 0 / 4,,,Abroad,,Speaker,,Kyoto,Japan
11000045,13280304,SLWP,,,6/1/2011,5/31/2012,1 / 0 / 0,1y 0m,Served,Local,No records,Master's in Education Teaching,UP Diliman,Diliman,Philippines
10000046,22036687,SDWP,,,2/28/2010,3/31/2010,0 / 1 / 4,0y 1m,,Local,,,,,The Netherlands
12000047,11783682,LFF,,,6/1/2012,5/31/2013,1 / 0 / 0,1.5y 0m,Served,Local,No records,Ph.D in Mathematics,UP Diliman,Diliman,Philippines
